saleid|itemid|customerid|storeid|time|qty|pricerange
36|14|2|38|49|15|3
784|90|182|97|46|31|3
801|117|2|43|81|14|5
905|79|119|81|67|44|5
227|68|2|66|67|42|1 
951|102|116|45|35|1|5
492|100|2|7|67|39|5
228|100|16|11|67|27|5
541|65|2|26|39|14|4
350|178|24|30|66|17|2
618|98|2|35|67|20|5
424|93|2|20|67|14|5
496|98|51|84|76|5|1 
685|89|51|66|67|22|5
161|108|2|30|67|12|3
699|18|2|7|67|25|5
472|95|174|62|67|43|5
193|102|51|77|67|16|3
682|90|193|28|67|34|5
765|156|59|47|67|9|4
871|116|59|57|99|25|5
521|120|140|3|67|45|4
969|115|2|50|80|33|5
984|140|36|45|67|5|3
452|89|2|61|61|11|5
358|67|2|30|67|47|1 
187|120|74|46|67|40|1 
642|114|2|23|67|25|5
852|106|102|38|67|47|5
352|92|2|21|67|37|5
309|109|25|82|51|2|1 
189|131|157|17|55|39|5
545|128|59|25|67|25|3
349|95|2|82|67|49|4
25|67|2|44|67|2|4
113|145|2|57|67|9|1 
920|105|53|100|49|34|5
996|110|164|34|61|24|5
834|83|102|48|49|26|5
822|129|59|13|67|37|5
312|115|2|22|46|3|5
321|67|23|46|100|30|5
605|84|2|18|67|22|5
885|82|2|57|30|39|4
410|101|185|22|92|5|2
933|87|2|65|67|37|2
363|107|2|76|67|8|5
218|134|2|24|46|37|5
655|98|23|10|28|23|5
847|137|2|17|67|41|5
369|93|2|90|67|34|3
639|112|2|27|29|10|5
345|100|2|41|67|36|4
911|108|130|73|61|2|5
803|85|59|64|67|24|1 
108|114|2|27|67|33|5
628|99|2|54|67|45|2
256|119|59|76|67|42|5
81|108|2|84|68|35|5
223|97|2|9|46|23|1 
583|110|101|89|67|30|5
305|134|2|85|67|46|2
151|119|23|33|67|10|2
804|83|2|61|67|11|5
829|112|2|70|63|43|1 
146|92|130|83|67|21|5
590|101|32|89|67|43|5
556|116|37|5|74|25|5
230|94|185|96|67|41|4
576|71|57|95|67|41|4
458|126|198|13|67|24|4
558|106|2|57|67|1|3
536|76|2|27|67|15|5
542|88|2|52|67|4|5
417|93|168|80|76|40|1 
229|101|59|48|56|38|5
750|114|185|63|27|45|5
382|72|180|77|67|26|5
325|115|2|30|67|47|5
982|107|103|23|29|36|5
244|83|2|75|67|27|4
624|117|2|5|16|18|5
891|64|2|10|67|34|5
128|81|43|85|49|26|4
446|136|16|85|67|50|5
295|80|2|25|84|34|5
203|20|41|40|67|3|5
769|91|2|62|67|26|2
569|133|59|15|67|42|5
570|92|2|87|49|5|5
870|89|185|67|67|31|5
970|100|2|19|61|1|5
553|94|137|20|67|16|5
28|128|166|12|67|25|5
346|90|59|76|67|4|2
945|92|2|73|39|2|3
710|87|59|78|69|5|5
251|134|59|33|67|15|3
450|123|140|75|67|19|5
732|100|157|67|24|20|5
55|64|2|33|46|14|5
675|105|2|12|67|38|5
745|88|186|88|67|11|5
515|199|2|23|5|8|4
98|109|2|79|46|29|5
620|90|185|89|67|36|4
778|75|160|72|67|17|1 
820|129|130|76|49|9|5
944|102|2|51|3|47|2
747|77|185|49|67|3|5
142|77|2|51|67|26|5
32|127|2|95|74|47|5
845|84|25|81|25|2|5
759|81|2|30|46|37|3
286|84|59|74|67|38|5
796|99|130|100|56|30|5
843|82|59|35|4|5|5
137|91|182|85|67|18|3
692|70|191|4|38|20|5
560|43|38|53|46|47|5
633|121|96|94|67|24|5
893|90|200|59|17|27|5
222|117|47|83|67|11|4
936|122|185|64|87|8|5
154|117|2|9|61|2|5
939|104|85|21|46|44|1 
477|115|59|91|67|28|3
37|70|2|29|67|12|2
909|119|2|44|67|7|5
568|99|2|18|26|20|5
14|97|20|95|9|24|5
120|94|9|43|92|27|5
226|109|185|77|77|8|5
199|89|151|45|4|11|5
152|91|15|18|48|18|3
584|105|2|98|67|38|5
469|127|2|77|95|38|5
393|119|196|84|93|28|3
24|97|28|61|84|24|5
817|81|2|39|67|11|5
517|119|51|6|51|1|5
204|104|97|31|18|15|4
263|184|2|32|51|9|5
415|89|140|27|67|2|2
70|72|84|54|67|45|1 
729|84|119|17|67|48|5
497|129|59|63|67|18|3
26|109|130|51|99|22|5
61|119|125|55|11|2|5
564|84|196|6|69|25|5
255|122|24|7|67|49|5
49|162|59|25|67|22|4
670|99|2|36|95|25|4
888|126|2|87|80|19|4
602|99|59|16|95|27|5
356|89|47|95|67|37|5
344|129|177|70|67|40|5
319|136|2|56|46|21|5
966|97|2|86|67|45|5
713|9|168|34|67|14|5
332|117|140|98|67|1|5
652|113|2|80|39|35|5
220|114|112|31|22|44|4
672|101|59|46|67|4|3
523|93|2|10|3|9|3
163|90|2|25|7|24|5
443|103|78|64|67|49|5
285|92|59|9|67|18|5
484|107|66|96|67|33|1 
825|112|59|10|67|24|5
90|84|51|27|43|8|5
253|106|126|13|67|39|5
988|129|196|72|67|22|5
667|133|39|30|67|26|5
181|114|2|48|67|49|5
840|85|2|31|44|23|2
147|81|2|4|92|11|5
566|113|20|49|67|41|5
67|67|69|25|61|31|5
627|93|2|15|67|44|1 
58|70|2|64|67|1|5
56|74|2|77|67|40|5
916|75|59|65|100|11|5
316|95|2|88|67|12|5
797|69|185|21|67|23|5
213|120|20|90|67|5|4
422|86|161|36|67|26|4
851|85|156|37|70|19|5
421|103|2|7|22|36|1 
976|114|2|44|51|3|5
802|102|86|34|51|50|5
103|98|59|15|61|40|5
474|133|59|42|67|7|5
520|95|23|70|67|19|3
427|78|2|43|67|5|5
107|119|2|18|67|1|1 
5|93|59|11|67|12|5
241|99|102|37|67|50|1 
593|189|59|15|31|47|5
821|107|2|51|67|39|3
591|103|43|62|48|35|4
714|107|159|74|100|9|5
74|64|166|47|54|1|5
134|81|56|42|53|49|5
21|137|195|74|37|13|5
700|68|2|37|92|23|5
215|88|57|68|67|49|5
788|190|48|5|22|12|5
805|110|59|51|67|48|5
686|86|156|37|70|49|5
371|62|33|23|67|7|5
442|110|51|20|67|49|5
835|117|197|50|67|33|1 
254|90|130|7|48|46|5
815|149|184|92|67|23|1 
766|69|59|14|67|35|5
960|91|121|100|3|9|5
668|132|2|98|48|47|5
609|90|166|72|67|21|1 
340|72|190|59|67|23|3
75|99|2|90|28|1|4
360|90|185|72|67|6|5
540|77|2|26|61|47|5
957|124|141|53|67|38|5
192|83|59|38|46|14|4
4|121|2|52|67|6|5
849|91|21|43|61|48|5
238|166|2|56|67|48|5
904|94|2|72|49|1|5
736|92|59|64|67|37|5
33|112|59|99|67|30|5
762|106|2|30|67|25|5
17|90|102|4|28|40|5
366|63|38|52|92|23|1 
267|98|17|47|67|38|5
886|84|2|58|67|24|5
47|192|66|82|67|32|4
20|78|130|2|67|30|5
863|85|25|19|46|10|4
597|108|59|53|67|23|5
949|135|168|55|80|17|5
721|130|2|74|67|5|5
709|120|25|23|12|45|1 
35|126|175|32|67|10|3
860|81|47|36|61|15|1 
362|87|40|39|49|22|2
799|89|80|88|77|48|5
575|106|2|9|67|21|5
337|72|102|6|1|40|5
704|63|59|86|49|47|5
471|127|2|85|67|21|5
979|50|168|6|49|31|5
792|97|126|82|31|40|3
516|109|75|59|83|33|5
551|107|79|11|76|47|5
777|85|131|20|67|45|4
376|115|2|35|51|28|5
501|99|2|62|67|2|5
632|93|197|5|67|10|5
438|110|2|48|61|10|5
715|133|2|52|61|9|5
413|92|82|96|99|15|4
214|137|2|4|43|45|5
470|74|2|65|54|45|5
166|70|2|76|67|38|4
749|77|163|48|3|41|5
414|105|2|87|53|33|5
276|120|59|46|67|4|5
78|105|2|5|90|47|4
243|137|180|83|91|27|5
965|88|5|7|71|39|1 
937|119|57|37|58|49|5
481|87|2|21|67|26|5
770|83|23|86|67|22|5
3|135|2|51|46|37|4
928|104|1|73|67|10|5
245|86|96|25|5|50|5
390|117|110|69|51|15|5
121|111|2|89|61|13|5
429|83|79|81|67|3|2
525|82|166|23|51|16|5
760|110|2|20|32|28|5
493|78|104|32|46|10|5
22|74|2|8|67|35|5
116|129|200|5|66|6|5
23|77|2|14|67|12|5
114|82|102|63|67|19|3
308|111|59|96|67|25|5
752|90|92|62|67|29|3
19|61|47|97|67|47|5
634|121|2|48|32|1|2
439|128|15|52|67|14|5
926|98|2|19|27|39|1 
411|102|59|55|46|3|3
648|82|5|3|67|47|5
298|136|2|58|67|41|4
288|46|2|95|67|26|5
169|133|59|76|54|29|5
600|112|36|66|93|31|5
231|68|2|88|67|5|4
561|76|102|98|82|16|5
478|140|2|72|52|35|5
619|123|46|38|49|38|4
626|145|131|59|67|24|5
678|65|107|73|37|49|5
402|116|59|47|57|33|5
806|83|185|49|98|50|1 
684|95|22|24|41|28|3
961|84|139|29|67|40|5
622|111|25|60|61|15|5
330|103|130|94|69|11|5
507|118|25|54|46|27|5
164|86|50|65|67|35|5
650|92|195|91|84|15|4
178|94|2|23|22|49|5
971|119|2|96|49|33|5
862|122|59|66|67|29|5
764|86|2|41|24|8|5
252|137|180|33|67|38|5
952|136|59|41|30|7|5
739|70|2|11|67|47|5
559|11|2|88|67|3|1 
896|77|130|85|67|35|5
637|68|195|84|67|37|5
853|65|102|72|67|31|1 
314|84|2|95|64|41|5
173|100|2|43|8|20|5
768|61|59|4|16|36|5
374|106|65|41|46|1|5
956|113|2|37|67|36|2
45|133|2|63|49|23|5
365|121|2|34|49|3|5
923|94|200|13|98|7|5
157|102|2|56|67|44|3
589|115|130|10|67|42|5
737|140|2|18|7|45|5
503|95|2|11|54|26|5
651|105|159|80|92|27|5
100|127|47|28|67|36|5
320|70|196|70|13|18|5
38|97|2|33|67|2|3
323|66|107|15|62|5|5
398|82|2|41|3|27|5
864|119|12|38|67|49|5
577|82|2|61|67|49|5
640|89|2|11|67|7|2
978|83|174|19|65|45|5
269|70|59|27|67|11|4
462|85|130|98|89|38|5
261|107|25|70|67|10|5
